sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y,std_gyro_z,std_gyro_x,std_gyro_y,mean_gyro_z,mean_gyro_x,mean_gyro_y,range_gyro_z,range_gyro_x,range_gyro_y
472,Reckless,16.86602434391834,12.471170766108935,21.87227560033169,8.334934210526317,-1.2639593301435414,-1.1320095693779901,101.72488038277511,79.1244019138756,122.25598086124401,1.3466263964276248,0.42061731524977386,0.8292461262618289,-0.1187234042553192,-0.05950000000000002,-0.0642287234042553,5.731914893617022,2.727659574468085,3.7893617021276595
473,Reckless,22.041733697519078,12.284813984774175,32.90278175331962,8.411967703349283,-0.4977930622009569,-1.3747069377990426,155.76555023923444,90.78229665071771,146.4377990430622,0.9714591488095278,0.8614847379967766,0.5222923025438008,0.07085638297872335,-0.04939893617021277,0.05868617021276596,4.7957446808510635,5.982978723404255,2.496808510638298
474,Reckless,18.690457941276822,7.2775129720587675,25.37318808441577,7.9472727272727335,-0.7654425837320576,-0.8181160287081337,108.35406698564594,43.19617224880383,130.63636363636363,0.37045794963282963,0.4965948080919337,0.23564380786384267,-0.04599468085106385,0.008941489361702132,0.05599468085106382,1.9659574468085108,2.431914893617021,1.225531914893617
475,Reckless,18.17633633747648,8.164217436734711,21.8459600899415,8.38633373205741,-1.0601973684210515,-0.6867224880382773,130.9665071770335,53.35406698564594,135.98086124401914,0.5145607858476662,0.4160361082428997,0.37612951714466286,-0.03147872340425531,-0.021239361702127667,0.011132978723404255,2.604255319148936,3.1148936170212767,2.1797872340425526
476,Reckless,19.161746210657235,10.362742421292975,23.070262832912842,8.717972488038285,-0.48601076555023925,-1.0446650717703354,138.41387559808612,60.11244019138755,135.89234449760767,0.7632141220285704,0.4477371251323596,0.46881075957870005,0.16872872340425538,-0.06160106382978728,-0.03755851063829787,4.54468085106383,2.6861702127659575,1.970212765957447
477,Reckless,18.053057037508346,10.008360755495014,26.101842032944358,8.2019557416268,-0.8508193779904305,-0.6383253588516751,135.7200956937799,73.4665071770335,154.65071770334927,0.5853252703089219,0.5464606182387377,0.443084962660332,-0.0045265957446808626,-0.01818085106382978,0.05466489361702128,2.5202127659574467,4.160638297872341,2.0691489361702127
478,Reckless,18.96871096934236,11.108712748924813,29.2172192239115,7.36831339712919,-0.6201854066985637,-1.103074162679427,129.76076555023923,71.07894736842105,149.64114832535884,0.8297329163418362,0.6876896830585525,0.39053119379643775,0.1132712765957447,-0.025207446808510642,0.0006223404255319323,3.6787234042553187,4.920212765957447,2.2787234042553193
479,Reckless,16.423819762699807,8.530045826204764,21.76566790433876,8.728588516746422,-0.9137081339712924,-0.6482954545454546,87.57894736842105,56.28947368421053,112.64354066985646,0.6788682285694501,0.40281385594888686,0.41421403380710986,-0.023090425531914892,-0.02789893617021274,-0.055526595744680884,3.7031914893617017,2.096808510638298,1.9287234042553192
480,Reckless,16.889761798285182,9.322795254256368,24.551615581119513,8.236381578947377,-1.0758133971291866,-0.8673325358851673,91.19617224880383,51.87559808612441,126.19856459330143,0.47886608750153314,0.43271584035228,0.2591753672938806,-0.04449468085106385,-0.01096808510638298,-0.03615957446808511,2.360638297872341,2.488297872340426,1.2585106382978724
481,Reckless,22.829121069092317,12.357605917639228,30.803918695043315,7.938474880382769,-0.5003349282296656,-1.6454964114832535,137.95215311004785,123.41626794258374,149.6315789473684,0.7187535127057544,0.7359371456173791,0.6030851505390457,0.09151595744680842,-0.05682446808510643,0.03594148936170217,3.0627659574468087,6.645744680851063,2.3404255319148937
482,Reckless,19.285378332809422,11.783924573135849,25.347903961363357,7.844019138755981,-0.8584389952153118,-0.6494258373205745,124.01674641148324,89.25358851674642,152.0693779904306,0.5839835372634155,0.5436922998144325,0.8010465176156981,-0.009755319148936183,-0.010845744680851071,0.033510638297872354,3.0585106382978724,3.9595744680851066,3.1063829787234036
483,Reckless,21.92726813183272,15.195211460183327,30.873534862240916,7.122936602870814,-0.7876315789473688,-0.5472188995215312,115.97607655502391,118.63875598086126,154.6602870813397,0.6744639154559585,0.6515070984459873,0.7614019668679318,0.005579787234042537,-0.004776595744680852,-0.036856382978723415,2.561702127659575,4.296808510638297,3.6893617021276595
484,Reckless,18.783479724434255,9.654367303745671,26.941348676063384,7.389946172248801,-1.0130143540669858,-0.830562200956938,132.70813397129186,60.37320574162679,144.59808612440193,0.8035271793141868,0.5552609752568709,0.52744114969879,-0.0001063829787233972,-0.026627659574468096,0.07651063829787234,3.8191489361702127,3.340425531914893,2.8436170212765957
485,Reckless,20.04040632673736,9.871320456788476,29.432361043535263,7.642589712918653,-0.7405741626794257,-1.3489952153110059,138.84928229665073,51.547846889952154,148.7200956937799,0.6196200612239047,0.6217814656907023,0.48223905916748566,-0.008308510638297892,-0.02816489361702124,-0.039069148936170264,2.7542553191489363,3.7361702127659573,1.95531914893617
486,Reckless,17.461224607194183,8.582667291642146,22.608870604705135,8.05092703349282,-0.9327452153110048,-0.7214653110047848,105.47368421052632,62.368421052631575,148.2224880382775,0.3186333962449917,0.6323397383199618,0.19314688380842607,-0.015111702127659568,-0.021840425531914884,0.008042553191489358,1.5340425531914894,5.986170212765957,1.1840425531914893
487,Reckless,19.79696454409977,11.656076077406974,29.00017762140636,6.416202153110048,-0.544491626794258,-0.22434210526315787,126.83253588516746,87.29904306220097,153.71531100478467,0.9456209354410028,0.6626689530968551,0.41663892774748046,0.057473404255319126,-0.015260638297872333,0.0002340425531914829,3.7202127659574464,4.012765957446808,1.8734042553191488
488,Reckless,15.846802546527032,9.896548280043836,23.51177727240412,7.7094258373205795,-0.8877272727272738,-0.9510167464114816,95.19856459330143,62.89234449760765,116.37081339712918,0.7863816318205402,0.47795949716048747,0.6548467810756023,0.012101063829787208,-0.018462765957446798,0.01838297872340428,3.1617021276595745,2.3957446808510636,2.8542553191489364
489,Reckless,17.597930724624717,6.865662006057741,22.259325275000435,8.463098086124402,-0.9814354066985639,-0.00141746411483318,155.37081339712915,44.186602870813395,144.83253588516746,0.3135479544618646,0.4938907543242685,0.1980504785301351,-0.07030851063829784,-0.008494680851063826,-0.049111702127659564,1.8510638297872344,4.373404255319149,1.0382978723404255
490,Reckless,17.37526464819205,10.416541153136427,25.08910092933677,8.352745215311005,-0.8972906698564591,-0.7610406698564595,127.52153110047848,70.98325358851673,156.05980861244018,0.8102383485399821,0.5639951402302013,0.6161394931130084,0.03628191489361702,-0.05270744680851061,0.14406914893617023,3.4180851063829785,4.629787234042553,2.828723404255319
491,Reckless,20.564364214258337,11.623159141330888,27.254776566901526,8.336776315789473,-0.9013217703349277,-1.8921291866028696,146.04784688995215,76.47368421052632,156.66985645933013,0.7784828623009462,0.6677066969227993,0.5853189341828124,-0.13868617021276594,-0.08470744680851064,-0.2058882978723404,3.6340425531914895,5.8808510638297875,2.896808510638298
492,Reckless,17.92771228934433,10.473006788015178,23.114283001564836,8.681877990430623,-0.9229186602870806,-0.6456040669856467,146.27272727272725,84.89952153110048,142.9043062200957,0.5339911732084225,0.4977433750830353,0.3405626559805889,0.010276595744680816,-0.023010638297872345,0.12275531914893613,3.1680851063829785,3.081914893617021,1.6914893617021276
493,Reckless,13.394806470870908,8.74059994457663,21.4061543966323,9.282356459330137,-0.45474880382775146,0.9700478468899527,85.3755980861244,54.92583732057416,124.72248803827753,0.8058075622733065,0.3561930424715253,0.3071040124573475,-0.06863829787234038,-0.008292553191489357,-0.011404255319148926,4.011702127659574,1.8829787234042552,1.8404255319148937
494,Reckless,10.306042536421394,8.17300246294126,16.113661574421453,9.12253588516747,-0.970071770334929,-1.066046650717704,123.45215311004785,93.39952153110048,145.82775119617224,0.7623342752106084,0.3297561039980316,0.291727201324819,0.06371276595744692,-0.03229255319148936,0.04879787234042555,3.1936170212765957,3.3936170212765955,2.1074468085106384
495,Reckless,15.635856870136688,9.635116574026831,18.30214756962782,7.971058612440187,-0.7545095693779915,-1.641830143540669,134.9976076555024,121.82296650717704,134.45454545454544,0.5087631412653216,0.993386442916709,0.3535850805832481,-0.017218085106382987,-0.013675531914893626,-0.004377659574468085,2.6829787234042555,5.935106382978724,2.4882978723404254
496,Reckless,22.658100814805316,16.345151667598945,31.988514217769957,8.222135167464113,-0.8499581339712915,-2.3637260765550265,149.52153110047846,84.17464114832535,155.74641148325358,0.8449923382239085,0.6228864439346312,0.363174241526429,0.20310638297872333,-0.07593617021276597,0.0025319148936169926,3.2585106382978726,4.024468085106383,1.6914893617021276
497,Reckless,19.785353222836502,12.921399993776884,28.613091540926394,8.0275,-1.1136722488038273,-1.7236901913875584,155.20574162679426,122.44258373205739,141.38516746411483,0.5367404163724986,0.72312609973933,0.31261648715765833,-0.3311542553191491,-0.02543617021276596,-0.024308510638297885,2.929787234042553,8.802127659574468,2.401063829787234
498,Reckless,27.589510633003275,14.003319139915005,37.777095925595205,6.5266387559808585,-0.6571770334928231,-1.4780083732057423,155.68421052631578,78.91387559808612,156.66985645933013,1.0603792870746713,1.0032341880042226,0.5395246639550862,0.18820212765957464,-0.09032446808510636,0.06474468085106375,4.875531914893617,6.048936170212766,2.4787234042553186
499,Reckless,21.559929249260072,11.823831672774798,31.81318997361795,8.339958133971296,-0.6711961722488039,-1.0953767942583728,121.8133971291866,84.45454545454544,146.20095693779905,1.1900019094318914,0.6519148848715202,0.6321626831040281,0.04427659574468097,-0.14900531914893628,0.052755319148936185,5.125531914893617,4.385106382978723,2.69468085106383
500,Reckless,20.303573616324034,14.486840067658918,32.10215924817935,8.068331339712921,-0.7995215311004784,-0.9699521531100472,117.53827751196175,122.62200956937798,149.6196172248804,1.2616487080310759,0.7316710327651865,0.6313716999002772,0.010930851063829787,-0.19702127659574473,-0.04864893617021279,5.427659574468085,4.503191489361702,2.674468085106383
501,Reckless,17.327620738267495,11.333943784738823,29.554699528116853,7.863540669856463,-1.0493600478468907,-1.8259330143540682,124.35885167464116,114.34210526315789,152.14354066985643,1.138750179878859,0.8188743466470226,0.4445589045460501,-0.29706382978723356,0.021590425531914845,0.03336702127659582,6.5946808510638295,8.095744680851064,2.0404255319148934
502,Reckless,24.732685053590426,12.851560110086728,33.694707238327815,7.483947368421055,-1.3159569377990425,-1.0720454545454536,156.58133971291866,90.17703349282297,156.66985645933013,1.1278580867650974,0.8618596880343851,0.5018782735527766,-0.09819680851063822,-0.08996808510638303,-0.024367021276595714,5.207446808510638,6.218085106382979,3.1500000000000004
503,Reckless,24.802815871878607,15.008675330123287,37.69736979164676,6.7873863636363545,-0.3007775119617226,-0.13197966507177006,131.14593301435406,94.99043062200957,156.3468899521531,1.3541542371216992,0.806234207895479,0.5906420530462516,0.32436170212765963,-0.07811702127659573,0.10530319148936174,6.163829787234042,4.332978723404256,3.0585106382978724
504,Reckless,22.558118905529593,12.722434411964304,34.064233194257014,8.142799043062196,-1.2231339712918652,-1.3157117224880375,118.88755980861247,84.96172248803828,156.66985645933013,1.0246842516739576,0.6770413224186869,0.7127273291578033,-0.10615957446808491,-0.1584787234042553,-0.17495744680851047,3.6382978723404253,3.6808510638297873,2.7351063829787234
505,Reckless,21.19407509726775,13.618007801959077,33.26272387504701,8.488433014354065,-0.891489234449761,-0.6281339712918659,130.4282296650718,93.82296650717703,156.16507177033492,1.2532583337485679,0.6745929549303489,0.8416149194981735,-0.17468085106382983,-0.24045212765957444,0.12604787234042564,5.147872340425533,3.77872340425532,3.261702127659574
