sampleNum,label,std_acc_z,std_acc_x,std_acc_y,mean_acc_z,mean_acc_x,mean_acc_y,range_acc_z,range_acc_x,range_acc_y
1147,Normal,1.65347576726798,6.203956259074262,7.027892906442075,0.04905502392344498,9.06759569377991,-0.09619617224880378,10.595693779904305,39.38516746411483,42.87320574162679
1148,Normal,1.7001814632616403,6.948571194039591,6.063069254374081,0.09818779904306212,8.983122009569385,-0.8289593301435407,10.85645933014354,40.066985645933016,38.32296650717703
1149,Normal,1.932572930531056,7.47582312088335,7.684415275210101,-0.24849282296650724,9.139826555023927,0.22383373205741627,10.751196172248804,54.382775119617214,39.222488038277504
1150,Normal,2.1877788727416725,8.409953416160183,8.022470584633718,-0.11528110047846886,9.171674641148332,0.45584330143540586,12.67224880382775,54.253588516746404,55.88277511961722
1151,Normal,1.6557579774274414,6.218194158983376,5.70951562028403,0.0019497607655502664,9.026961722488037,-0.9123205741626792,10.483253588516746,33.442583732057415,29.741626794258373
1152,Normal,1.7744939247212608,7.125731078874634,6.491109669526588,-0.24546650717703336,9.22307416267942,-0.3473624401913877,9.87799043062201,36.58612440191388,40.4066985645933
1153,Normal,2.322560770490733,10.476332058643964,9.472428600293462,-0.2006220095693779,9.191447368421048,-0.4356877990430625,18.619617224880383,86.28947368421052,88.22488038277513
1154,Normal,2.100871954409895,8.773099327250613,8.024994710522591,0.09188397129186596,9.049999999999997,-0.5381399521531105,12.870813397129186,45.985645933014354,48.547846889952154
1155,Normal,1.7530653133439198,7.196953125545731,7.442572740559463,0.1038157894736842,8.998379186602874,-0.6305921052631573,12.956937799043061,53.33492822966508,48.63636363636364
1156,Normal,1.7269373620567303,6.690566081755953,6.173727582034808,0.07437799043062202,8.998666267942586,-0.5099521531100479,10.952153110047846,45.31818181818181,34.08612440191387
1157,Normal,2.3643237671097803,9.48413980888258,9.279584136386376,0.034970095693779873,8.962667464114832,-0.5053050239234449,14.363636363636363,65.41626794258373,56.84928229665073
1158,Normal,2.349992268342772,8.906284611283759,7.5407908172531615,-0.0800478468899521,9.019910287081343,-0.5925119617224884,15.684210526315791,58.10526315789474,41.11244019138756
1159,Normal,1.8527064685455417,7.570079230825913,6.747819819202993,0.06216507177033495,9.034419856459328,-0.4135406698564595,11.557416267942584,40.89473684210526,40.026315789473685
1160,Normal,1.6578113311498743,5.641396799080886,5.120799460307397,-0.03459928229665068,9.005927033492824,-0.5795693779904306,11.035885167464116,36.05023923444976,40.600478468899524
1161,Normal,1.6872917256952824,7.1527035552975065,7.311266551452654,0.0003588516746411408,8.93635167464115,-0.4299820574162679,16.72488038277512,71.57177033492823,99.18899521531101
1162,Normal,3.315436572497376,9.517521431129596,14.68373911811436,-0.08305023923444972,9.055400717703344,-0.1862619617224881,47.889952153110045,94.37320574162679,156.66985645933013
1163,Normal,1.1714227801095205,4.485040627480715,4.425577302534948,0.062494019138756,8.966375598086135,-0.34514952153110046,7.389952153110048,34.70334928229665,28.976076555023923
1164,Normal,1.3038472578634637,4.588060084170918,4.327585650695628,0.00190191387559804,9.057021531100482,-0.2930263157894737,8.148325358851675,27.46411483253588,22.66028708133971
1165,Normal,1.23142730985974,4.217964621423344,4.114445852248043,0.02916267942583744,9.03782894736842,-0.3285765550239234,8.361244019138756,24.68181818181818,23.318181818181813
1166,Normal,1.178736710237133,3.939861480172317,3.915883240591957,-0.005490430622009554,9.002505980861244,-0.3630382775119616,7.557416267942584,31.236842105263158,22.38038277511962
1167,Normal,1.3075350973855941,4.444943979593374,5.048683384599814,0.008654306220095678,9.029419856459338,-0.3379366028708133,7.435406698564593,30.045454545454547,29.889952153110045
1168,Normal,1.4420983640212561,4.805183241812007,4.794223677912609,0.01623803827751198,9.018259569377996,-0.32800239234449774,7.71531100478469,30.497607655502392,25.727272727272727
1169,Normal,1.385045461091766,5.2507269686626925,4.802549867423794,0.05767942583732057,9.025980861244005,-0.3071172248803828,7.696172248803828,29.913875598086122,32.688995215311
1170,Normal,1.944872392439257,8.186776404352338,10.24106707553564,0.04190191387559807,8.991267942583734,-0.12072966507177042,15.806220095693782,75.21052631578947,99.64593301435407
1171,Normal,1.7915749575002449,5.894467959486682,7.904146748670628,-0.02755980861244021,9.077727272727273,-0.467272727272727,20.485645933014354,38.90909090909091,113.52153110047847
1172,Normal,1.3263515371843821,4.731455611066078,4.903000878789506,0.09780502392344494,9.034282296650723,-0.32340909090909087,6.631578947368421,30.600478468899524,28.58133971291866
1173,Normal,1.358057804990998,4.665585417267259,4.275822498635205,0.11647727272727272,9.02317583732058,-0.30957535885167475,8.404306220095695,28.822966507177036,24.07894736842105
1174,Normal,1.3226566453791873,4.832135296750063,4.684353144518023,0.04111244019138756,9.023564593301431,-0.3504605263157895,7.988038277511962,30.318181818181817,27.688995215311007
1175,Normal,1.4632814636034381,4.816105837789309,5.116841765312499,0.07663875598086127,8.989342105263159,-0.289210526315789,9.593301435406698,31.696172248803826,28.47129186602871
1176,Normal,1.534520561025941,5.745169251684333,5.08624075968257,0.10404306220095699,9.030974880382775,-0.2966925837320571,9.555023923444976,39.026315789473685,32.143540669856456
1177,Normal,1.4910536243057946,5.6572580426562835,5.003525318746068,0.059084928229665025,9.062960526315788,-0.32846889952153113,8.12200956937799,34.66746411483254,30.782296650717704
1178,Normal,2.2570453501776426,8.690699822028714,9.449249746946377,0.0070514354066985654,9.012667464114822,-0.25278110047846913,18.59808612440191,75.12200956937798,93.72966507177034
1179,Normal,1.3327094224119573,5.2637577696322,4.754652265862195,0.05291267942583735,9.005167464114836,-0.3399222488038277,7.0933014354066986,29.138755980861244,29.0933014354067
1180,Normal,1.4938385451382068,6.4198575943858325,6.252927879278818,0.06946770334928229,9.027894736842107,-0.2923923444976078,8.004784688995215,41.94019138755981,39.442583732057415
1181,Normal,1.3833705432624321,5.138358886913674,4.610961883700476,-0.03565789473684207,9.045472488038273,-0.3050717703349284,6.911483253588517,34.79904306220096,29.9354066985646
1182,Normal,1.5112598825753294,5.6086063616270145,5.465450700324208,0.06740430622009569,8.990693779904307,-0.23201555023923442,8.397129186602871,35.782296650717704,30.047846889952154
1183,Normal,1.914448625557575,7.245626127506497,6.257550123629436,-0.013133971291866012,9.041483253588519,-0.29961722488038256,18.63157894736842,76.73444976076556,43.1578947368421
1184,Normal,1.5979671076708784,5.957521737157722,6.696993782280933,0.05178229665071771,9.025065789473683,-0.3399461722488041,9.562200956937799,43.1866028708134,49.88277511961722
1185,Normal,1.3485441436864494,5.867540235850273,6.366598276950516,0.05764952153110049,9.06323564593302,-0.22748803827751196,7.6746411483253585,53.18181818181818,66.48325358851675
1186,Normal,1.3307099764095653,4.951513594618628,4.658600427578895,0.06516148325358852,9.048361244019144,-0.3189294258373208,8.002392344497608,30.722488038277515,26.129186602870814
1187,Normal,1.2826089427699847,5.02434678958683,4.9565550011415045,0.03673444976076552,9.010633971291861,-0.41336124401913865,7.614832535885167,26.425837320574164,28.942583732057415
1188,Normal,1.4090422237222227,5.218362270916991,4.914437798612871,0.03171052631578948,9.029174641148325,-0.279401913875598,7.921052631578947,29.95215311004785,25.858851674641148
1189,Normal,1.7839385129368484,6.605509650043181,7.505497686757287,0.05329545454545457,9.016483253588513,-0.36294258373205734,12.854066985645932,61.97607655502392,69.122009569378
1190,Normal,1.5208544347179347,5.307209337784369,4.971544517691449,0.001710526315789451,9.014964114832534,-0.3110346889952155,8.40909090909091,35.758373205741634,28.30861244019139
1191,Normal,1.8614311114853728,6.872103529748562,6.886374984717998,0.019790669856459348,9.08656100478469,-0.3036602870813399,16.18181818181818,65.04784688995215,78.97846889952153
1192,Normal,1.4562837512376046,7.14413791154465,5.0535641139626,-0.08102870813397138,9.129055023923447,-0.27968301435406673,9.610047846889952,74.93540669856459,33.11722488038278
1193,Normal,2.3370524946680424,7.667638470451308,12.599718218108851,0.08416267942583733,8.842793062200947,-0.4002811004784688,25.14832535885167,84.71291866028707,140.39712918660285
1194,Normal,1.340498364958707,4.060411481681376,4.0749807427826195,-0.04046650717703349,9.098181818181816,-0.43345693779904343,7.866028708133971,22.52153110047847,26.325358851674643
1195,Normal,1.3798427130183253,4.547122782749981,4.4559546967109975,0.05211722488038279,8.99727870813397,-0.39822966507177054,8.28468899521531,29.287081339712916,26.966507177033492
1196,Normal,1.4712798341104418,4.973630326526284,5.441735581115107,0.02968899521531103,9.037858851674649,-0.45547248803827756,8.992822966507177,30.607655502392348,39.380382775119614
1197,Normal,1.341559616901796,5.008895331874283,5.237201506989948,0.0389294258373206,9.011327751196177,-0.6325657894736842,7.145933014354068,29.79904306220096,26.528708133971293
1198,Normal,1.320976498461263,4.977977662102199,4.630711464869695,0.04839114832535884,9.057422248803825,-0.2548504784688996,8.935406698564593,37.69377990430622,25.239234449760765
1199,Normal,1.8778561949065964,7.055425169857737,4.995949478224828,0.018151913875598114,9.008002392344503,-0.20021531100478446,11.70334928229665,38.88516746411483,27.576555023923447
